,Issue Key,Test Summary,ExecutionStatus
0,PEEKUAT-121,OSAT05 - 320 - Download Third Party feedback forms,PASS
1,PEEKUAT-179,OSAT05.2 - 9 - Access to diagrams from incidents,PASS
6,PEEKUAT-117,OSAT05 - 280 - On the Way Update,PASS
7,PEEKUAT-117,OSAT05 - 280 - On the Way Update,PASS
11,PEEKUAT-132,OSAT05 - 450 - Comments & photos,FAIL
12,PEEKUAT-132,OSAT05 - 450 - Comments & photos,FAIL
13,PEEKUAT-132,OSAT05 - 450 - Comments & photos,FAIL
14,PEEKUAT-132,OSAT05 - 450 - Comments & photos,FAIL
17,PEEKUAT-173,OSAT05.2 - 3 - Zoom in/out - DMS,PASS
22,PEEKUAT-160,"OSAT05.1 - 12 - Under '+Assessment', add damaged items - Transformer",PASS
24,PEEKUAT-167,OSAT05.1 - 19 - Return to damaged item list,PASS
40,PEEKUAT-133,OSAT05 - 460 - Field findings required,PASS
44,PEEKUAT-172,OSAT05.2 - 2 - Open GIS Diagram,PASS
50,PEEKUAT-128,OSAT05 - 400 - Re-send incident from PowerOn,PASS
51,PEEKUAT-155,"OSAT05.1 - 7 - Under '+Assessment', add damaged items - Conductor",PASS
52,PEEKUAT-118,OSAT05 - 290 - On site,PASS
63,PEEKUAT-126,OSAT05 - 380 - Reject incident,PASS
66,PEEKUAT-139,OSAT05 - 560 - Job completion prevented - missing information,PASS
73,PEEKUAT-137,OSAT05 - 540 - Job completion - SP,FAIL
74,PEEKUAT-166,OSAT05.1 - 18 - Return to damaged item,PASS
76,PEEKUAT-176,OSAT05.2 - 6 - Viewing component - GIS,PASS
77,PEEKUAT-125,OSAT05 - 370 - Incomplete,PASS
78,PEEKUAT-125,OSAT05 - 370 - Incomplete,PASS
79,PEEKUAT-125,OSAT05 - 370 - Incomplete,PASS
80,PEEKUAT-125,OSAT05 - 370 - Incomplete,PASS
81,PEEKUAT-125,OSAT05 - 370 - Incomplete,PASS
82,PEEKUAT-125,OSAT05 - 370 - Incomplete,PASS
83,PEEKUAT-125,OSAT05 - 370 - Incomplete,PASS
